label	n	ptok	ntok	real	decode	rate	prefill_s	ttft_s	hit_pct	peak_gb	p_gpu	p_io	p_host	d_gpu	d_io	d_host	d_cb	flags
chunk-c512	2	2378	32	18.92	2.16	14.794	14.534	14.534	66.9	0.48	3.22	4.18	-1.29	34.39	25.83	7.37	118.2	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 512 --rdadvise off
chunk-c1024	2	2378	32	14.97	2.12	15.069	10.532	10.532	68.7	0.57	2.79	2.61	-0.98	34.33	24.58	7.45	118.2	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 1024 --rdadvise off
chunk-c2048	2	2378	32	13.28	2.26	14.156	8.633	8.633	69.3	0.73	2.65	1.82	-0.84	36.85	25.63	8.16	118.2	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
chunk-c512	3	2378	32	19.01	2.22	14.403	14.544	14.545	66.9	0.48	3.22	4.19	-1.29	35.41	26.12	7.90	118.2	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 512 --rdadvise off
chunk-c1024	3	2378	32	15.11	2.24	14.261	10.612	10.613	68.7	0.55	2.80	2.65	-0.99	36.30	25.92	7.89	118.2	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 1024 --rdadvise off
chunk-c2048	3	2378	32	13.25	2.17	14.743	8.842	8.842	69.3	0.71	2.67	1.91	-0.87	34.10	25.96	7.76	118.2	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
chunk-drift	9	2378	32	18.93	2.11	15.188	14.598	14.598	66.9	0.54	3.23	4.21	-1.29	33.62	25.24	6.98	118.2	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 512 --rdadvise off
prefetch-warmup	0	498	128	11.73	6.39	20.029	3.225	3.225	73.3	0.51	3.05	4.48	-1.06	28.33	15.78	5.82	121.0	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
prefetch-drift	0	498	128	11.77	6.45	19.851	3.189	3.189	73.3	0.49	3.05	4.47	-1.11	28.79	15.72	5.86	121.0	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
prefetch-off	1	498	128	11.73	6.38	20.074	3.202	3.202	73.3	0.51	3.05	4.46	-1.08	28.55	15.47	5.79	121.0	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
prefetch-n8	1	498	128	11.27	5.92	21.636	3.157	3.157	81.3	0.52	3.05	4.41	-1.12	29.59	23.59	-6.96	121.0	env:TF_QWEN_EXPERT_PREFETCH=8 --expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
prefetch-off	2	498	128	11.69	6.38	20.067	3.150	3.150	73.3	0.51	3.05	4.34	-1.07	28.47	15.57	5.79	121.0	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
prefetch-n8	2	498	128	11.29	5.93	21.599	3.178	3.178	81.3	0.51	3.06	4.42	-1.10	29.62	23.69	-7.01	121.0	env:TF_QWEN_EXPERT_PREFETCH=8 --expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
prefetch-off	3	498	128	11.82	6.43	19.907	3.174	3.174	73.3	0.52	3.04	4.40	-1.07	28.66	15.67	5.90	121.0	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
prefetch-n8	3	498	128	11.58	6.10	20.984	3.300	3.300	81.3	0.50	3.05	4.68	-1.10	29.83	25.38	-7.55	121.0	env:TF_QWEN_EXPERT_PREFETCH=8 --expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
prefetch-drift	9	498	128	11.73	6.40	20.014	3.171	3.171	73.3	0.53	3.05	4.38	-1.06	28.47	15.57	5.92	121.0	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
prefetch-warmup	0	56	192	11.94	8.34	23.019	1.437	1.437	72.4	0.42	10.99	15.77	-1.10	26.78	11.75	4.92	121.4	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
prefetch-drift	0	56	192	12.03	8.49	22.624	1.407	1.407	72.4	0.47	10.14	15.81	-0.82	27.02	11.70	5.48	121.4	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
prefetch-off	1	56	192	12.20	8.58	22.370	1.425	1.425	72.4	0.46	10.06	16.05	-0.67	27.19	12.03	5.48	121.4	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
prefetch-n8	1	56	192	12.01	8.41	22.831	1.429	1.429	80.6	0.47	10.42	16.30	-1.20	28.95	20.09	-5.24	121.4	env:TF_QWEN_EXPERT_PREFETCH=8 --expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
prefetch-off	2	56	192	12.08	8.51	22.574	1.417	1.417	72.4	0.50	10.17	15.94	-0.81	27.01	11.93	5.36	121.4	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
prefetch-n8	2	56	192	12.06	8.41	22.831	1.404	1.404	80.6	0.46	10.42	15.71	-1.06	28.95	19.82	-4.97	121.4	env:TF_QWEN_EXPERT_PREFETCH=8 --expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
prefetch-off	3	56	192	12.19	8.57	22.411	1.442	1.442	72.4	0.47	10.49	16.26	-1.00	27.25	11.90	5.47	121.4	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
prefetch-n8	3	56	192	12.08	8.45	22.721	1.414	1.414	80.6	0.46	10.36	15.87	-0.98	29.00	20.35	-5.33	121.4	env:TF_QWEN_EXPERT_PREFETCH=8 --expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
prefetch-drift	9	56	192	12.14	8.54	22.490	1.444	1.444	72.4	0.44	10.38	16.48	-1.07	27.13	11.88	5.45	121.4	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
prefetch-warmup	0	2698	192	25.06	12.69	15.127	10.149	10.149	65.0	0.72	2.71	1.98	-0.93	36.81	22.72	6.58	121.4	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
prefetch-drift	0	2698	192	25.20	12.63	15.207	10.197	10.197	65.0	0.72	2.72	1.99	-0.92	36.06	23.24	6.46	121.4	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
prefetch-off	1	2698	192	23.92	11.62	16.527	10.063	10.063	65.0	0.69	2.73	1.95	-0.95	33.81	21.49	5.21	121.4	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
prefetch-n8	1	2698	192	23.00	10.60	18.119	10.016	10.016	75.2	0.75	2.75	1.93	-0.98	33.52	36.72	-15.05	121.4	env:TF_QWEN_EXPERT_PREFETCH=8 --expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
prefetch-off	2	2698	192	24.51	12.20	15.736	10.008	10.008	65.0	0.72	2.76	1.93	-0.98	35.51	21.84	6.19	121.4	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
